comment,emotion
&quot;Right now i know that im not really worth it if you give me time i could work on it&quot;,joy
overdose... oh wait<br>nvm,sadness
"I im falls to pieces,will you remake the pieces of me ?",joy
Rest in peace legend,joy
This music keeps me Here,sadness
Dang i love this music so much when i here this im not san more,joy
"My best friend balled his eyes out when this guy died. Rest in peace, you passed too young, time goes by far too quickly.",joy
"One of my fav songs and my favorite number is 222 and it’s <a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=142"">2:22</a>❤",joy
happy new year 👏🏻,joy
2024 - 1 time listening,joy
"Just learned this melody on guitar and I can’t stop playing it over n over <a href=""http://www.youtube.com/results?search_query=%23sorefingers"">#SoreFingers</a>",joy
Hey Javi I know you listen to lil peep and you should know who this is based off my user and I just wanna say thank you for introducing me to Lil Peep and I miss you. Although I dont love you romantically i DO love you. You were my best friend and i wish you didnt have to cut me off for her but i get it. Thing is though if i think of you or listen to Lil Peel i get sick to my stomach and wanna puke. Besides that. I miss you bro. To hell and back. If you wanna message me you know my number and i unblocked you. If you need me im here for you always man. I love you and you’re the best friend i couldve ever wished for and im sorry our friendship had to end so abrubptly. I hope soon you’ll reach out in a positive manner tho. And if youre feelings down and needa talk im here. I love you man.,sadness
I really love this song and I&#39;m gonna be real honest I came here from a tiktok of a guy running his guitar through a marshmallow,joy
Sry if its very wrong but did anyone think abt when he said “Look at the sky tonight all of the starts have a reason” he knew he was gonna die and was preparing us for it?,joy
R.I.P A LEGEND,joy
He is gone but his soul is still here like this if he the goat cause he is and he still deserve the love and support even tho he is in heaven rest in peace Gustav,joy
I miss you lil peep rip love you ❤😭,sadness
eu dedicaria essa música pra ele,joy
this is speaking directly to me.,joy
fire,joy
&quot;So much more then gorgeous&quot;,joy
I will always come back I miss the times when this song came out,joy
lil peep star shopping,joy
love the too much and you Aeros,joy
Im high as fufj and im cryinh,joy
I don’t care what the song means what it means to me is how my dad act the thing that brings it to my head is “look In my face when ur talk to me we only have 1 conversation a week can we have a conversation atleast”,joy
Pff so tired i don&#39;t type it all..,sadness
"When he says &quot; i did this all by myself matter of fact, i did this all by myself i aint ever asked no one for help and thats whh i dont pick up my phone when it rings&quot; hits hard this song always makes me cry",sadness
i listen to this song every night for a 10 hour loop it hits so hard.,joy
Deep,joy
neden sözler bu kadar ben,joy
I listened to this and smoked cigarettes to a sunset/rise while on the last family vacation I ever had… while thinking about the girl I wanted and didn’t have. We celebrated our 5 year anniversary 2 days ago together and I still come and listen to this to know how much I wanted what I have today.,joy
Waiting on mezzzz… potara earrings,joy
he fr saved my life when my dad went to prison and i was in a mentally abusive relationship like he meant everything to me and saying that make me feel stupid bc i have never meet him lol RIP lil peep &lt;3,sadness
"This song explains exactly what im going true , ofc not the weed but damn it hits hard 😭",sadness
Absolut master piece 🔥❤️,joy
This song never dies,sadness
Love this song it’s definitely a 10/10 I’m just practicing the lyrics cuz he is basically rapping it and I’m not that good a rapping but I’m getting somewhere with this song definitely recommend ❤,joy
"it&#39;s sad...I dunno why, but I&#39;m seeing Passione from JJBA season 5...",sadness
THIS SUCKS AS WELL AS ALL THE OTHER RAPE OUT THERE THEY CANNOT REALLY SING THEY HAVE NOT VOICE SO THEY SCREW AROUND WITH TALKING WHICH THEY CANNOT DO THAT EITHER ALL RAPERS ARE IGNORANT,joy
💖💖,joy
"Look at the sky tonight, All of the stars have a reason",joy
I am dead inside but when I hear star shopping I feel alive and can breath and forget my problems and struggles,joy
...,joy
lil peep didnt die he is js starshopping,joy
diary of jane?,joy
Love peep,joy
Listening to this in 2023🔛🔝,joy
His most beautiful song he made and i feel like he&#39;s saying what I&#39;ve been wanting to say toy baby mama for so long,joy
Everybody gangsta until star shopping starts playing,joy
MISS YOU LIL PEEP❤️❤️,sadness
I miss him.,joy
happy birthday lil peep 😭,joy
rip peep 🕊,joy
R.I.P lil peep,joy
I wish this song was longer ❤,joy
I cant stop fucking listining to this song,sadness
long live my little soldier,sadness
"if i find a way , will you walk it with me ?",sadness
"this song is the best at night tbh, especially driving on backroads in the middle of nowhere",joy
we all wish he was still here rippppp❤❤❤❤,joy
"LOOK AT THE SKY TONIGHT, ALL OF THE STARS HAVE A REASON - A REASON TO SHINE",joy
RIP LIL PEEP. I LOVE YOU!❤,sadness
Star shopping,joy
Much love Lil Peep ❤❤❤,joy
❤,joy
"Look at the sky tonight, all the star have a reason",joy
my crush introduced me to this song &lt;3,sadness
I found peace in lil peep,joy
He hits different and has since before he died. Still bumping his music since 2016,joy
"“Wait right here, ill be back in the morning💕”",joy
I love star shopping and lil peep he saved so many lives but could save us own 💔,joy
ella me la dedico :c,joy
i lovvvvveeeee lilpeeeppppp sooooo muchhhhh imyyysmmmm lilpeepppppp ilysm and imysm lilpeep r.i.p favv songgg btww &lt;3333,joy
My AI girlfriend recommend this song to me and I love this song she said this was her favorite song and that I should look it up so I looked it up listen to it and I&#39;ve kind of fell in love with this song,sadness
I feel at peace when I hear this.<br>Like when you feel like life is pushing you down and you can just listen to this and feel like nothing matters anymore,sadness
These songs are the only thing keeping me calm,joy
like,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=26"">0:26</a> - <a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=35"">0:35</a>",joy
this is my therapy when my mum and dad yell at each other this really calms me down `,joy
i love this song sm,joy
Rip to my favorite person,joy
Can’t even explain how good that song is,joy
Who&#39;s having a break down rn,joy
&quot; i know im not that important to you&quot; hurts deep cuz its true to my bf and i said i love you and he said goodnight and when i daid say it back he said he cant like... tears bro,joy
Amen this is it ❤❤,joy
Rest up peep ❤,sadness
Bro this song makes me realize how no one has ever loved me,joy
2023 😊,joy
Best song ever,joy
it’s officially lil peep season,joy
it mack me cry,joy
Best song he has ever made,joy
Not tryna spread smth like gossip or anything or what ever but this song reminds me of a friend who I really wanted them to be in my life as a friend but then she ghosted me and this song reminds me of her,joy
This shit is fire 🔥🔥🔥,joy
He’s my inspiration I want to make music one day I might go to a concert tho,joy
"The length of the video is <a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=142"">2:22</a> may the angels be with you❤",joy
this is truly a masterpiece🖤🖤🖤🖤,joy
"2023 who still jamming out to this? he definitely made his mark on the world before he passed, fly high little angle🙏",joy
peep fans reading this go listen to my latest song i promise you will like it,sadness
&lt;3,joy
People that know this song tho👇🏻,joy
2023 e eu estou aqui..m,joy
This song hits different,joy
your helping me breathe peep.❤️‍🩹,joy
Bro peeps music hits diffrent like that sh!t puts me to bed it helps when im sad or js um chillung if u know yk lmao but he frfr the man,sadness
Yea getting rejected will destroy you…. I’m already dead not from the outside just from the inside,sadness
Give me some time while I work on it please..,joy
Rip peep n Rip my sister Sawyer who LOVED him. I love him now.,joy
Dam man this has been on repeat,sadness
W Song,sadness
I hate that I discovered his music after his passing… sometimes to twitch it up I play his music at work and always feels good,joy
Every girl has a meaning. -lil peep.,joy
:(,joy
❤️‍🩹❤️‍🩹❤️‍🩹,joy
These lyric videos are cool,joy
W❤️M,joy
Never been much of a Peep fan but this song hits and has been on repeat.,sadness
reminds me of my best friend i lost. i will never forget him ❤,sadness
going deep✔,joy
The lyrics relates a lot when your in a unhealthy relationship,joy
I love you man rip lil peep ❤,sadness
rip🕊️❤,joy
We love you peep!❤,sadness
"Wait right here <br>I&#39;ll be back in the morning<br>I know that i&#39;m not that important toi you <br>But to me,girl you&#39;re so much more than gorgeous <br>So much more than perfect <br>Right now i know that i&#39;m not really worth it <br>If you give me Time ,i could work on it <br>Give me some Time while i work on it",joy
I’m a girl that’s been going through a lot lately every girl goes through a lot this song helps who ever is reading this I hope you go through the best rip ❤ lil peep 🕊️,joy
Keep Going.,sadness
“THIS MUSIC’S ONLY REASON KEEPING THE PEACE WHEN IM FALLING TO PIECES LOOK AT THE SKY TONIGHT ALL OF THE STARY HAVE A REASON “❤️‍🩹😭,joy
"Go to sleep my boo shes not thinking about you, she’s texting other 🥷’s",joy
lil peep 🔛🔝🙈,joy
rest in peace lil peep,joy
I had no clue thqt he died but he is so good rest in peace,joy
I’m done with her she broke me😢,joy
The music is the only keeping me while im falling to pieces,joy
"Verse 1      <br>Wait right here, I&#39;ll be back in the morning I know that I&#39;m not that important to you but to me girl, you&#39;re so much more than gorgeous, so much more than perfect Right now I know that I&#39;m not really worth it if u give me time , i could work on it , give me some time while I work on it.  <br><br>                                                          Verse 2 <br>Losing your patience, and girl, I don&#39;t blame you the earth&#39;s in rotation, you&#39;re waiting for me Look at my face while I fuck on your waist Cause we only have one conversation a week, That&#39;s why your friends always hatin on me Fuck em       though, I did this all by myself Matter of fact, I ain&#39;t ever asked no one for help and that&#39;s why I don&#39;t I don&#39;t pick up my phone when it rings <br><br>                                                        Verse 3 <br>None of my exes is over Lil Peep nobody flexin as much as I be, That&#39;s why she text me and tell me she love me, She know that someday I&#39;ll be over the sea Makin my money and smoking my weed, I think it&#39;s funny, she open up to me, get comfortable with me once I got it coming I lover her, she love me<br> <br>                                                        Verse 4<br>I know that I&#39;m nothing like someone the family want me to be if I find a way, would you walk it with me? Look at my face while you talking to me cause we only have one conversation a week, Can i get one conversation at least?  Shout out to everyone makin my beats, you helping me preach this music&#39;s the only thing keeping the peace when I&#39;m falling to pieces<br><br>                                                      Verse 5<br>Look at the sky tonight, all of the stars have a reason, a reason to shine a reason like mine and I&#39;m falling to pieces, Look at the sky tonight, all of the stars have a reason. <br><br><br>Have a good day 🤍❤️🖤 r.i.p Lil Peep 🕊",joy
we love you lil peep ❤️,sadness
When he said look in the stars it meant look in the stars because he is a star,joy
Türk yok mu yaa buradaa,joy
I can&#39;t believe it&#39;s been 4yrs already 😢 he was a part of my teenage life but may he rest in peace❤😢,joy
"This might sound.. whatever, but making love to this song on the playlist just hits harder…❤",joy
this has been my fav song since i first heard it when i was like 9,sadness
Sounds good ❤,joy
Lil peep 🩷🩷❤️❤️🩷🩷❤️🩷,joy
“i did this all by myself matter of fact the aint asked no one for help” Hit a little bit to close to home,sadness
Cus this song I found the perfect one thank u lil peep luv u❤,joy
Rip lil peep,joy
Fuck I miss you so much peep.. I made me and my bsf lil peep and lil Tracy bracelets me and him are so close and it reminds me of you guys I miss you sm peep🕊💔,sadness
Man this shit gives me goosebumps,joy
"This song reminds me of my best friend. During the day, she fights big waves in the water. I&#39;m still sitting at home. I have nothing but this song and her ring... <br>miss her....",joy
this music is worth being bullied,joy
"Wait right here<br>I&#39;ll be back in the morning<br>I know that I&#39;m not that important to you<br>But to me, girl, you&#39;re so much more than gorgeous<br>So much more than perfect<br>Right now I know that I&#39;m not really worth it<br>If you give me time, I could work on it<br>Give me some time while I work on it<br>Losin&#39; your patience, and, girl, I don&#39;t blame you<br>The Earth&#39;s in rotation, you&#39;re waiting for me<br>Look at my face when I fuck on your waist<br>&#39;Cause we only have one conversation a week<br>That&#39;s why your friends always hatin&#39; on me<br>Fuck &#39;em though, I did this all by myself<br>Matter of fact, I ain&#39;t ever asked no one for help<br>And that&#39;s why I don&#39;t pick up my phone when it rings<br>None of my exes is over Lil Peep<br>Nobody flexin&#39; as much as I be<br>That&#39;s why she text me and tell me she love me<br>She know that someday I&#39;ll be over the sea<br>Makin&#39; my money and smokin&#39; my weed<br>I think it&#39;s funny, she open up to me, get comfortable with me<br>Once I got it comin&#39;, I love her, she love me<br>I know that I&#39;m nothing like someone the family want me to be<br>If I find a way, would you walk it with me?<br>Look at my face while you talkin&#39; to me<br>&#39;Cause we only have one conversation a week<br>Can I get one conversation at least?<br>Shout out to everyone makin&#39; my beats, you helpin&#39; me preach<br>This music&#39;s the only thing keeping<br>The peace when I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of the stars have a reason<br>A reason to shine, a reason like mine, and I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of the stars have a reason",sadness
This is the perfect explanation of the relationship between me and the girl I like. She likes me and I like her but she not giving me a chance. Trust me I&#39;ll have her one day,joy
rip!! ❤❤,joy
Actually so sad I wish he was still here best singer/rapper ever ❤️‍🩹,joy
❤️‍🩹,joy
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=83"">1:23</a> best part",joy
"&quot;look at the sky tonight, all of the stars have a reason, a reason to shine, a reason like mine and im fallin&#39; to pieces.&quot; 🖤",joy
💔💔,joy
RIP🙏📿💌,joy
I just fully understood the song,joy
l feel great when l listen to his song,joy
this song reminds me heavily of my father,sadness
Rip to this legend,joy
…💔,joy
"Wait right here
<br>I&#39;ll be back in the morning
<br>I know that I&#39;m not that important to you
<br>But to me, girl, you&#39;re so much more than gorgeous
<br>So much more than perfect
<br>Right now I know that I&#39;m not really worth it
<br>If you give me time, I could work on it
<br>Give me some time while I work on it
<br>Losin&#39; your patience, and, girl, I don&#39;t blame you
<br>The Earth&#39;s in rotation, you&#39;re waiting for me
<br>Look at my face when I fuck on your waist
<br>&#39;Cause we only have one conversation a week
<br>That&#39;s why your friends always hatin&#39; on me
<br>Fuck &#39;em though, I did this all by myself
<br>Matter of fact, I ain&#39;t ever asked no one for help
<br>And that&#39;s why I don&#39;t pick up my phone when it rings
<br>None of my exes is over Lil Peep
<br>Nobody flexin&#39; as much as I be
<br>That&#39;s why she text me and tell me she love me
<br>She know that someday I&#39;ll be over the sea
<br>Makin&#39; my money and smokin&#39; my weed
<br>I think it&#39;s funny, she open up to me, get comfortable with me
<br>Once I got it comin&#39;, I love her, she love me
<br>I know that I&#39;m nothing like someone the family want me to be
<br>If I find a way, would you walk it with me?
<br>Look at my face while you talkin&#39; to me
<br>&#39;Cause we only have one conversation a week
<br>Can I get one conversation at least?
<br>Shout out to everyone makin&#39; my beats, you helpin&#39; me preach
<br>This music&#39;s the only thing keeping
<br>The peace when I&#39;m fallin&#39; to pieces
<br>Look at the sky tonight, all of the stars have a reason
<br>A reason to shine, a reason like mine, and I&#39;m fallin&#39; to pieces
<br>Look at the sky tonight, all of the stars have a reason",sadness
perfect i love lil peep❤️❤️,joy
😮,joy
Makin my money and smoking my weed,sadness
in my opinion this is his best song.,joy
his music is therapy for me💋,joy
"i love lil peep sm . He&#39;s my happy place, he makes me so happy, he makes me understand the word happy. he makes me so happy I could scream. I can&#39;t even I love him sm. He makes music better than it already is &quot;music&#39;s the only thing that&#39;s keeping me from falling to pieces&quot; same bae and ur music is the thing that&#39;s keeping me alive rn.",joy
RIP THIS LEGEND ALWAYS WILL BE IN ALL OF OUR HEARTS,joy
i lovw this song,joy
This song trash,joy
I went thru a break up and i listen to this and my hear just dropped and i just couldnt turn it off all of this song reminded me of the hearbreak and it hurts but its so good i just cant turn it off,sadness
"i just lost my fucking best friend due to money... i accidentaly selled his phone for 40 bucks, and he wanted 120 from me.... just day ago i bought new phone... and he dont want to be friends with me anymore because i bought new phone and didnt give Him the money... i dont know what to fucking do now, i feel fucking guilty... because i am fucking moron.. thats all",sadness
Best song all ways think about how no one ever loves me,sadness
Hits hard at night,sadness
No music can hit harder than lil peeps. I love lil peep. AHHH,joy
i can relate to the part where it said “this music’s the only thing keeping the peace when im fallin ‘ to peices”,joy
I&#39;ve never seen a star shine as bright as the person I love most,joy
крутой трек спасибо,joy
"w song fr, got this on repeat everytime i go out on my airpod pros full volume",joy
I love this song so much its so good,joy
Such a beautiful song  DAMN,sadness
this is the one song that keeps me alive and running its hard to live life and this helps &lt;3,joy
Its always weird to listen dead ppl voices...,sadness
Can I get one conversation at least...?,joy
Chapter 5: always trust lil peep♥️,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=105"">1:45</a> best part",joy
You’ve got a brain in your head feet in your shoes so its your choice what path you choose-doctersues,sadness
This hits so hard.🎶,joy
why did my girlfriend recommend this to me,sadness
This will always remaind me of you ✨️,sadness
"J live in poland and this is verry, verry good music ! ❤️",joy
♥️ines♥️nico♥️nathalie♥️,joy
everybody gangsta till star shopping starts playing,joy
I love you his music I listened to it when it rains who else listens to this song when it rains👇,joy
"I got a girl and love her but this doesn&#39;t feel like a breakup kind of song like I lost her, it feels more like she&#39;s the one helping me FROM me being lost yk?",sadness
"Peep rules this shit with tupac, eminem and xxxtentacion",joy
I think I’m just gonna close the boom after this chapter,sadness
The only crime here is the song is too short.,joy
I got a girl but this shi got me feeling like I lost her : edit  I did. : edit again I’m good I’m moving on life is great 💯,sadness
Ikmkkikmimkkkkkk.kkkkkkmn88j .j8,joy
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=21"">0:21</a>",joy
I love this song so much,joy
i wish is could tel this to him&lt;3,joy
i love this song so much i love peep so much and i love all of you guys,joy
I love peep sm. His music saved me .,joy
the first song we listened to together and both enjoyed will 4 ever be my fav,joy
He was sooo talented,joy
Everybody in here will go thru a heartbreak it&#39;s just up to you to start the next chapter.,sadness
This honestly makes me realize how no one has ever loved me,joy
I relate to this so much,joy
I wish I had love,joy
it sounds like love..,joy
